Date,Total_PnL,Avg_PnL,Total_Volume,Trade_Count,Win_Rate,value,classification
2024-06-07,108.87217799999999,4.53634075,2490.17,24,0.2916666666666667,77,Extreme Greed
2024-06-08,267.318048,2.4982995140186914,61478.38,107,0.12149532710280374,72,Greed
2024-06-09,-1104.856765,-26.306113452380952,39047.1,42,0.0,75,Extreme Greed
2024-06-10,130.487079,5.9312308636363635,300130.56,22,0.22727272727272727,72,Greed
2024-06-11,2817.83723,187.85581533333334,123906.9,15,0.4666666666666667,74,Greed
2024-06-12,-92624.643895,-229.83782604218362,3471019.22,403,0.23325062034739455,72,Greed
2024-07-01,-835.681235,-8.615270463917525,1048850.06,97,0.09278350515463918,53,Neutral
2024-07-02,241.24212,16.082808,6758.73,15,0.13333333333333333,51,Neutral
2024-07-04,0.0,0.0,49988.14,23,0.0,44,Fear
2024-07-05,883.537693,49.08542738888889,108717.58,18,0.5,29,Fear
2024-07-06,8902.467416,20.23288049090909,1098588.76,440,0.4,26,Fear
2024-07-07,61.428942,6.1428942,498.75,10,1.0,29,Fear
2024-07-08,188.789255,5.720886515151515,2492.77,33,0.30303030303030304,28,Fear
2024-07-10,0.0,0.0,219984.65,21,0.0,28,Fear
2024-07-11,4493.353136,39.764187044247784,111335.3,113,0.5309734513274337,29,Fear
2024-07-12,85906.279067,282.5864442993421,451733.42,304,0.4309210526315789,25,Fear
2024-08-01,-269.874439,-2.1083940546875,1522452.43,128,0.25,52,Neutral
2024-08-02,770.756024,77.07560240000001,26051.12,10,0.4,57,Greed
2024-08-03,4271.886236,63.7594960597015,183583.18,67,0.8805970149253731,37,Fear
2024-08-04,1218.4267,40.614223333333335,211940.64,30,0.03333333333333333,34,Fear
2024-08-05,1.56576,0.12044307692307693,65973.57,13,0.07692307692307693,26,Fear
2024-08-06,129.13883900000002,4.453063413793104,97351.88,29,0.27586206896551724,17,Extreme Fear
2024-08-07,0.0,0.0,497.64,1,0.0,29,Fear
2024-08-08,-40.712216999999995,-4.5235796666666666,16299.35,9,0.0,20,Extreme Fear
2024-08-09,0.0,0.0,0.11,1,0.0,48,Neutral
2024-08-10,5396.546638,149.90407327777777,434584.13,36,0.9166666666666666,40,Fear
2024-08-11,-64.41354100000007,-1.6516292564102582,270700.44,39,0.15384615384615385,39,Fear
